latitude,longitude,geohash,timestamp,albedo_surface,categorical_freezing_rain_yes1_no0_surface,categorical_ice_pellets_yes1_no0_surface,categorical_rain_yes1_no0_surface,categorical_snow_yes1_no0_surface,convective_available_potential_energy_surface,convective_inhibition_surface,direct_evaporation_cease_soil_moisture_surface,downward_long_wave_rad_flux_surface,downward_short_wave_rad_flux_surface,drag_coefficient_surface,friction_velocity_surface,geopotential_height_lltw,geopotential_height_pblri,geopotential_height_surface,geopotential_height_zerodegc_isotherm,ice_cover_ice1_no_ice0_surface,land_cover_land1_sea0_surface,latent_heat_net_flux_surface,lightning_surface,maximumcomposite_radar_reflectivity_entire_atmosphere,mean_sea_level_pressure_nam_model_reduction_msl,missing_pblri,number_of_soil_layers_in_root_zone_surface,planetary_boundary_layer_height_surface,plant_canopy_surface_water_surface,precipitable_water_entire_atmosphere,pressure_maximum_wind,pressure_reduced_to_msl_msl,pressure_surface,pressure_tropopause,relative_humidity_zerodegc_isotherm,sensible_heat_net_flux_surface,snow_cover_surface,snow_depth_surface,soil_porosity_surface,soil_type_as_in_zobler_surface,surface_roughness_surface,surface_wind_gust_surface,temperature_surface,temperature_tropopause,total_cloud_cover_entire_atmosphere,transpiration_stress-onset_soil_moisture_surface,u-component_of_wind_maximum_wind,u-component_of_wind_pblri,u-component_of_wind_tropopause,upward_long_wave_rad_flux_surface,upward_short_wave_rad_flux_surface,v-component_of_wind_maximum_wind,v-component_of_wind_pblri,v-component_of_wind_tropopause,vegetation_surface,vegitation_type_as_in_sib_surface,visibility_surface,water_equiv_of_accum_snow_depth_surface,wilting_point_surface
41.430492,-142.07529,8z6gwypyj,1417395600000.0,6.0,0.0,0.0,0.0,0.0,80.0,-0.8935546875,0.0,359.0931396484375,34.25,0.0,0.7258626818656921,1151.61328125,1281.3621826171875,0.0700225830078125,1220.0,0.0,0.0,334.0794677734375,0.0,6.5,101483.0,26594.0,0.0,2480.5,0.0,10.27922534942627,21727.3359375,101483.0,101483.0,23972.90625,79.0,105.67263793945312,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.35846519470215,287.6410217285156,215.6132659912109,100.0,0.0,-24.015167236328125,-18.656707763671875,-23.6708984375,376.58636474609375,15.75,-23.4136962890625,-8.919891357421875,-21.453140258789066,0.0,0.0,24225.326171875,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417396200000.0,6.0,0.0,0.0,0.03443860228975897,0.0,82.06433331636201,-0.7967117117445929,0.0,359.02139966789696,33.90783333486218,0.0,0.7232035218614624,1146.577904147314,1274.6814928215856,0.0700225830078125,1211.882385355594,0.0,0.0,326.31166604062054,2.268055011427855e-10,7.369457897756481,101498.7961861631,26417.87662674979,0.0,2474.521992358369,0.0,10.21199790417766,21838.107640608345,101498.80068674556,101498.81913052143,23870.99637959508,79.9953953935053,103.98287677742334,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.329097191187504,287.6319973756065,215.64207121110692,100.00037591325528,0.0,-24.59035538621298,-18.596638001700477,-24.12656819212168,376.5190473041638,14.998479086156694,-23.779042314225876,-8.94373816869973,-21.80971373599508,0.0,0.0,24225.2844127073,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417396800000.0,6.0,0.0,0.0,0.06868381895739609,0.0,84.11723105773673,-0.7035250687594952,0.0,358.96217583567966,33.50152769376489,0.0,0.7205201401535137,1141.9366942972038,1268.5934758064502,0.0700225830078125,1204.2508010915008,0.0,0.0,318.728572310962,4.344443402171666e-10,8.191964399962684,101513.8729632712,26253.001985789542,0.0,2469.050901855294,0.0,10.150723614907575,21943.544151356167,101513.8815841052,101513.916913028,23770.694035708166,80.95829432357058,102.32287173193971,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.298563935693995,287.6232238630643,215.66376496161118,100.00072005919321,0.0,-25.15163788405304,-18.538630031765827,-24.57316326166265,376.4539152596861,14.267675510885436,-24.139383694736757,-8.964312466829027,-22.160780684473206,0.0,0.0,24225.244769855384,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417397400000.0,6.0,0.0,0.0,0.10271912945102132,0.0,86.1576972035153,-0.6139257557957608,0.0,358.91512012129414,33.03367068942511,0.0,0.7178143138092471,1137.6806414694968,1263.0837541692858,0.0700225830078125,1197.0948879622872,0.0,0.0,311.3283715122429,6.234641361393833e-10,8.968556466685477,101528.24539645076,26099.113855843963,0.0,2464.072316792988,0.0,10.09526627396308,22043.753802971798,101528.25776807197,101528.30846804503,23671.983705487382,81.88920638932761,100.69245512030656,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.266905997022782,287.6146976785956,215.6785229731806,100.00103334545145,0.0,-25.6990471045761,-18.482633069752715,-25.01061975339362,376.39093447011726,13.557344572449244,-24.494636690512802,-8.98171126648371,-22.506272637176842,0.0,0.0,24225.20719628728,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417398000000.0,6.0,0.0,0.0,0.13652801321874472,0.0,88.18473573308894,-0.5278447701044438,0.0,358.87988449424915,32.50684993455985,0.0,0.7150878198960626,1133.800735434022,1258.1379505075968,0.0700225830078125,1190.4042867225187,0.0,0.0,304.10924857224416,7.944125078256761e-10,9.700271057991728,101541.92855082818,25955.95001563774,0.0,2459.571825473666,0.0,10.045489673691232,22138.844928683557,101541.94431463892,101542.00891609778,23574.849876080865,82.78864118990825,99.09145925982816,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.23416394397502,287.60641530990694,215.68652097627188,100.0013166796676,0.0,-26.232615422509955,-18.42859633154597,-25.438873774585325,376.3300707929142,12.867241569111142,-24.84471756147167,-8.996031582337716,-22.846121127059398,0.0,0.0,24225.171644971015,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417398600000.0,6.0,0.0,0.0,0.17009394970867625,0.0,90.1973506258488,-0.44521310893659777,0.0,358.8561209240532,31.923653041886134,0.0,0.7123424354813604,1130.287965960608,1253.7416874188875,0.0700225830078125,1184.1686381267616,0.0,0.0,297.06938841874694,9.478370741922848e-10,10.388145133948308,101554.93749152996,25823.24824389557,0.0,2455.5350161995425,0.0,10.001257606439085,22228.925861719763,101554.95629979907,101555.03337771156,23479.277034636718,83.65710832444424,97.51971646780875,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.200378345351865,287.59837324470493,215.6879347013419,100.00157096947932,0.0,-26.75237521258239,-18.376469033030393,-25.85786143250849,376.27129008553356,12.197121799134152,-25.189542567531028,-9.007370429064979,-23.180257687074278,0.0,0.0,24225.13806887461,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417399200000.0,6.0,0.0,0.0,0.20340041836892597,0.0,92.19454586118604,-0.3659617695432767,0.0,358.8434813802149,31.286667624120962,0.0,0.7095799376325411,1127.1333228190829,1249.8805875006628,0.0700225830078125,1178.3775829295819,0.0,0.0,290.2069759795321,1.0842854541554493e-09,11.033215654622085,101567.28728368245,25700.746319342154,0.0,2451.9474772728295,0.0,9.9624338645537,22314.104935308744,101567.30879954547,101567.39697341165,23385.249668303088,84.49511739206739,95.97705906155264,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.165589769954487,287.590567970696,215.6829398788475,100.00179712252424,0.0,-27.2583588495212,-18.3262003900908,-26.267518834433844,376.2145582054321,11.546740560781291,-25.52902796860853,-9.015824821339447,-23.50861385017489,0.0,0.0,24225.1064209661,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417399800000.0,6.0,0.0,0.0,0.23643089864760383,0.0,94.17532541849185,-0.29002174917553447,0.0,358.8416178322428,30.59848129398134,0.0,0.706802103417005,1124.3277957792743,1246.5402733504272,0.0700225830078125,1173.020761885545,0.0,0.0,283.52019618238074,1.2043052666314105e-09,11.636519580079923,101578.99299241218,25588.182020702185,0.0,2448.7947969957436,0.0,9.928882240382139,22394.49048267882,101579.01688987113,101579.11482372334,23292.752264228086,85.30317799190948,94.46331935836407,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.12983878658404,287.58299597558675,215.6717122392454,100.00199604644003,0.0,-27.75059870805417,-18.277739618612,-26.667782087632112,376.1598410100666,10.915853152315586,-25.863090024621854,-9.021491773835052,-23.831121149314637,0.0,0.0,24225.076654213513,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417400400000.0,6.0,0.0,0.0,0.2691688699928199,0.0,96.13869327715739,-0.21732404508442515,0.0,358.85018224964546,29.861681664184275,0.0,0.7040107099021524,1121.862374611011,1243.706367565685,0.0700225830078125,1168.0878157492175,0.0,0.0,277.00723395507396,1.3084441305364079e-09,12.1990938703887,101590.06968284554,25485.29312670036,0.0,2446.0625636704976,0.0,9.900466526271453,22470.190837058315,101590.09564676911,101590.20204917196,23201.769309559837,86.08179972310232,92.97832967554737,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.093165964041678,287.57565374708366,215.65442751299253,100.00216864886428,0.0,-28.22912716290909,-18.231035934478804,-27.05858729937402,376.1071043568938,10.304214872000053,-26.19164499548864,-9.024468301225733,-24.147711117446928,0.0,0.0,24225.04872158488,0.0,0.0
41.430492,-142.07529,8z6gwypyj,1417401000000.0,6.0,0.0,0.0,0.30159781185268414,0.0,98.08365341657385,-0.1477996545210023,0.0,358.8688266019316,29.078856347446784,0.0,0.7012075341553836,1119.728049084122,1241.3644927439404,0.0700225830078125,1163.5683852751654,0.0,0.0,270.6662742253927,1.3972496647866817e-09,12.721975485615276,101600.532420109,25391.817416061367,0.0,2443.736365599306,0.0,9.877050514568705,22541.314331675556,101600.56014623246,101600.67377028274,23112.285291446467,86.83149218477773,91.52192233040678,0.0,0.0,0.0,0.0,1.5900002836133353e-05,19.05561187112857,287.5685377728934,215.63126143054563,100.00231583743465,0.0,-28.693976588813765,-18.186038553576026,-27.439870576930296,376.0563141033703,9.711581018097712,-26.51460914112657,-9.024851418185431,-24.45831528752517,0.0,0.0,24225.02257604822,0.0,0.0
